,feature,mean,q.05,q.95,type
0,x1,1.0085247864381988,0.8889378867323883,1.119518072994969,conditional v(j)
1,x2,2.313731832036205,2.220470629647169,2.3664012930178937,conditional v(j)
2,x3,2.3996789197601864,2.3150379702896586,2.5022464112505562,conditional v(j)
3,x1,5.305819903733688e-06,1.937656078199179e-06,8.052513961243069e-06,conditional v(-j u j) - v(-j)
4,x2,-7.977848191176306e-07,-0.00040867740322281243,0.00035591898240028286,conditional v(-j u j) - v(-j)
5,x3,0.09449614873965907,0.08879732422849856,0.09927831788997915,conditional v(-j u j) - v(-j)
6,x1,-0.0005674638639535434,-0.0005957521690231893,-0.000547044829966925,marginal v(j)
7,x2,0.22817615764108354,0.2208932242982149,0.23730250822925703,marginal v(j)
8,x3,2.3909616747176408,2.2845811996119822,2.4367076793712634,marginal v(j)
9,x1,5.1237389443015145e-06,-3.338950286646547e-06,1.2197391412727132e-05,marginal v(-j u j) - v(-j)
10,x2,0.006008835665077695,0.005326471036262603,0.007431363676749458,marginal v(-j u j) - v(-j)
11,x3,2.1425487937045427,1.9980579273325327,2.2527075729883337,marginal v(-j u j) - v(-j)
